Nome;Telefone;WhatsApp;Email;Especialidade;Cidade;Estado;Fonte
"Dr. André Cavallini";"5511987451230";"https://wa.me/5511987451230";"contato@drandrecavallini.com.br";"Medicina Canabinoide / Dor Crônica";"São Paulo";"SP";"Diretório Médico Canábico"
"Dra. Carolina Nocetti";"5511993481200";"https://wa.me/5511993481200";"clinicacav@medcannabis.com.br";"Medicina Canabinoide / Neurologia";"São Paulo";"SP";"Associação Médica Canabinoide"
"Dr. Mario Grieco";"5511981240099";"https://wa.me/5511981240099";"doutormariogrieco@gmail.com";"Clínica Geral / Fitoterapia";"São Paulo";"SP";"Guia Médico Integrativo"
"Dra. Paula Trezena";"5521998765432";"https://wa.me/5521998765432";"dra.paulatrezena@consultoriomed.com.br";"Medicina Integrativa / Psiquiatria";"Rio de Janeiro";"RJ";"Diretório Integrativo RJ"
"Dr. Wellington Santana";"5531988776655";"https://wa.me/5531988776655";"wellington.med@clinicavita.com.br";"Ortopedia / Medicina da Dor";"Belo Horizonte";"MG";"Sociedade Brasileira de Dor"
"Dra. Juliana Mendes Ramos";"5541991223344";"https://wa.me/5541991223344";"juliana.ramos.med@gmail.com";"Neurologia / Epilepsia Refratária";"Curitiba";"PR";"NeuroCanabidiol Brasil"
"Dr. Eduardo Faveret";"5521971201234";"https://wa.me/5521971201234";"contato@drfaveret.med.br";"Neurologia Pediátrica / Canabinoides";"Rio de Janeiro";"RJ";"Associação Brasileira de Neurologia"
"Dra. Mariana Maciel";"5511982552525";"https://wa.me/5511982552525";"mariana.maciel@thcmed.com.br";"Medicina Canabinoide / Cuidados Paliativos";"São Paulo";"SP";"Painel Prescritores SP"
"Dr. Renan Abdalla";"5511974772802";"https://wa.me/5511974772802";"renan.abdalla@institutoendocanabico.com.br";"Clínica Médica / Terapia Canabinoide";"São Paulo";"SP";"Instituto Endocanabinoide"
"Dra. Patricia Montagner";"5511996560216";"https://wa.me/5511996560216";"patricia.montagner@integrativasaude.med.br";"Neurocirurgia / Medicina Integrativa";"São Paulo";"SP";"Sociedade de Medicina Integrativa"
